MNS,mirror neuron system,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt,Autism
CARS,Childhood Autism Rating Scale,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt,Autism
ADHD,Attention deficit hyperactivity disorder,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt,Autism
ABA,applied behavior analysis,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt,Autism
ASD,autism spectrum disorders,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt,Autism
PDD,pervasive developmental disorders,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt,Autism
ADOS,Autism Diagnostic Observation Schedule,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt,Autism
BRDF,bidirectional reflectance distribution function,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxiZWRv,Albedo
ATD,Alabama Tourism Department,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==,Alabama
COE,Council on Occupational Education,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==,Alabama
